Állam;Terület_km2;Lakosság;Főváros;Főváros_lakosság;EU_csatlakozás;Hivatalos_nyelv
Austria;83879;9006400;Vienna;1900000;1995;German
Belgium;30528;11555997;Brussels;185000;1958;Dutch/French/German
Bulgaria;110994;6870000;Sofia;1300000;2007;Bulgarian
Croatia;56594;3870000;Zagreb;806000;2013;Croatian
Cyprus;9251;1207000;Nicosia;200000;2004;Greek/Turkish
Czech Republic;78866;10500000;Prague;1300000;2004;Czech
Denmark;42933;5830000;Copenhagen;800000;1973;Danish
Estonia;45227;1330000;Tallinn;440000;2004;Estonian
Finland;338424;5530000;Helsinki;650000;1995;Finnish/Swedish
France;551695;67000000;Paris;2148000;1958;French
Germany;357022;83100000;Berlin;3769000;1958;German
Greece;131957;10400000;Athens;664000;1981;Greek
Hungary;93030;9600000;Budapest;1750000;2004;Hungarian
Ireland;70273;5000000;Dublin;554000;1973;Irish/English
Italy;301340;59000000;Rome;2873000;1958;Italian
Latvia;64589;1900000;Riga;630000;2004;Latvian
Lithuania;65300;2800000;Vilnius;580000;2004;Lithuanian
Luxembourg;2586;640000;Luxembourg;125000;1958;Luxembourgish/French/German
Malta;316;520000;Valletta;6000;2004;Maltese/English
Netherlands;41543;17400000;Amsterdam;872000;1958;Dutch
Poland;312696;38000000;Warsaw;1790000;2004;Polish
Portugal;92212;10200000;Lisbon;545000;1986;Portuguese
Romania;238397;19200000;Bucharest;1880000;2007;Romanian
Slovakia;49035;5450000;Bratislava;430000;2004;Slovak
Slovenia;20273;2100000;Ljubljana;295000;2004;Slovene
Spain;505990;47000000;Madrid;3223000;1986;Spanish
Sweden;450295;10400000;Stockholm;975000;1995;Swedish
