Állam;Terület_km2;Lakosság;Főváros;Főváros_lakosság;NATO_csatlakozás_éve;Haderő_nagysága_főben
Albánia;28748;2793000;Tirana;557000;2009;8000
Belgium;30528;11780000;Brüsszel;1200000;1949;25000
Bulgária;110994;6448000;Szófia;1280000;2004;37000
Kanada;9984670;40100000;Ottawa;1017000;1949;68000
Horvátország;56594;3850000;Zágráb;770000;2009;15000
Csehország;78866;10900000;Prága;1380000;1999;28000
Dánia;43094;5960000;Koppenhága;810000;1949;17000
Észtország;45227;1370000;Tallinn;454000;2004;7700
Finnország;338455;5560000;Helsinki;664000;2023;24000
Franciaország;551695;68000000;Párizs;2100000;1949;205000
Németország;357588;84500000;Berlin;3850000;1955;183000
Görögország;131957;10400000;Athén;3150000;1952;143000
Magyarország;93030;9590000;Budapest;1680000;1999;37000
Izland;103000;393000;Reykjavík;140000;1949;0
Olaszország;301340;58900000;Róma;4300000;1949;165000
Lettország;64589;1880000;Riga;605000;2004;6600
Litvánia;65300;2890000;Vilnius;592000;2004;23000
Luxemburg;2586;672000;Luxemburg;132000;1949;1000
Montenegró;13812;617000;Podgorica;190000;2017;2400
Hollandia;41543;17900000;Amszterdam;920000;1949;41000
Észak-Macedónia;25713;1830000;Szkopje;526000;2020;8000
Norvégia;385207;5550000;Oslo;710000;1949;23000
Lengyelország;312696;37800000;Varsó;1860000;1999;216000
Portugália;92212;10300000;Lisszabon;545000;1949;27000
Románia;238397;19000000;Bukarest;1710000;2004;81000
Szlovákia;49035;5430000;Pozsony;475000;2004;18000
Szlovénia;20273;2120000;Ljubljana;295000;2004;7300
Spanyolország;505990;48500000;Madrid;3300000;1982;133000
Svédország;450295;10500000;Stockholm;980000;2024;24000
Törökország;783356;85300000;Ankara;5700000;1952;425000
Egyesült Királyság;243610;69100000;London;9000000;1949;184000
Egyesült Államok;9833520;340000000;Washington D.C.;690000;1949;1328000
